Item	Category
gluten free dried fruit	Snacks
gluten free protein bars	Snacks
gluten free biscuits	Snacks
low fat ketchup	Condiments & Sauces
low fat mustard	Condiments & Sauces
low fat mayonnaise	Condiments & Sauces
low fat bbq sauce	Condiments & Sauces
low fat soy sauce	Condiments & Sauces
low fat hot sauce	Condiments & Sauces
low fat ranch dressing	Condiments & Sauces
low fat salad dressing	Condiments & Sauces
low fat pesto	Condiments & Sauces
low fat tartar sauce	Condiments & Sauces
low fat hoisin sauce	Condiments & Sauces
low fat sriracha	Condiments & Sauces
low fat tahini	Condiments & Sauces
low fat vinaigrette	Condiments & Sauces
low fat olive tapenade	Condiments & Sauces
low fat brown sauce	Condiments & Sauces
low fat chutney	Condiments & Sauces
gluten free pasta	Pasta & Grains
gluten free rice	Pasta & Grains
gluten free quinoa	Pasta & Grains
gluten free couscous	Pasta & Grains
gluten free barley	Pasta & Grains
gluten free oats	Pasta & Grains
gluten free polenta	Pasta & Grains
gluten free macaroni	Pasta & Grains
gluten free spaghetti	Pasta & Grains
gluten free fettuccine	Pasta & Grains
gluten free bulgur	Pasta & Grains
gluten free brown rice	Pasta & Grains
gluten free wild rice	Pasta & Grains
gluten free noodles	Pasta & Grains
gluten free lasanga	Pasta & Grains
gluten free risotto	Pasta & Grains
gluten free basmati rice	Pasta & Grains
low calorie soda	Beverages
low calorie juice	Beverages
low calorie water	Beverages
low calorie coffee	Beverages
low calorie tea	Beverages
low calorie wine	Beverages
low calorie beer	Beverages
low calorie energy drink	Beverages
low calorie milkshake	Beverages
low calorie sports drink	Beverages
low calorie smoothie	Beverages
low calorie sparkling water	Beverages
low calorie lemonade	Beverages
low calorie iced tea	Beverages
low calorie hot chocolate	Beverages
low calorie cider	Beverages
low calorie ale	Beverages
vegan deli meat	Deli
vegan cheese slices	Deli
vegan sandwich meat	Deli
vegan salami	Deli
vegan ham	Deli
vegan turkey	Deli
vegan bologna	Deli
vegan roast beef	Deli
vegan prosciutto	Deli
vegan pepperoni	Deli
vegan pastrami	Deli
vegan chorizo	Deli
vegan mortadella	Deli
vegan olives	Deli
vegan jamon	Deli
vegan lard	Deli
low sodium canned beans	Canned
low sodium canned corn	Canned
low sodium canned tomatoes	Canned
low sodium canned soup	Canned
low sodium canned tuna	Canned
low sodium canned peas	Canned
low sodium canned chili	Canned
low sodium canned mushrooms	Canned
low sodium canned pineapple	Canned
low sodium canned peaches	Canned
low sodium canned carrots	Canned
low sodium canned olives	Canned
low sodium canned butter beans	Canned
low sodium canned jalpenos	Canned
low sodium canned potatoes	Canned
low sodium canned custard	Canned
ready to eat canned beans	Canned
ready to eat canned corn	Canned
ready to eat canned tomatoes	Canned
ready to eat canned soup	Canned
ready to eat canned tuna	Canned
ready to eat canned peas	Canned
ready to eat canned chili	Canned
ready to eat canned mushrooms	Canned
ready to eat canned pineapple	Canned
ready to eat canned peaches	Canned
ready to eat canned carrots	Canned
ready to eat canned olives	Canned
ready to eat canned butter beans	Canned
ready to eat canned jalpenos	Canned
ready to eat canned potatoes	Canned
ready to eat canned custard	Canned
ready to eat low sodium canned beans	Canned
ready to eat low sodium canned corn	Canned
ready to eat low sodium canned tomatoes	Canned
ready to eat low sodium canned soup	Canned
ready to eat low sodium canned tuna	Canned
ready to eat low sodium canned peas	Canned
ready to eat low sodium canned chili	Canned
ready to eat low sodium canned mushrooms	Canned
ready to eat low sodium canned pineapple	Canned
ready to eat low sodium canned peaches	Canned
ready to eat low sodium canned carrots	Canned
ready to eat low sodium canned olives	Canned
ready to eat low sodium canned butter beans	Canned
ready to eat low sodium canned jalpenos	Canned
ready to eat low sodium canned potatoes	Canned
ready to eat low sodium canned custard	Canned
organic milk	Dairy & Eggs
organic cheese	Dairy & Eggs
organic yogurt	Dairy & Eggs
organic butter	Dairy & Eggs
organic eggs	Dairy & Eggs
organic cream	Dairy & Eggs
organic sour cream	Dairy & Eggs
organic ice cream	Dairy & Eggs
organic buttermilk	Dairy & Eggs
organic cottage cheese	Dairy & Eggs
organic whipped cream	Dairy & Eggs
organic ghee	Dairy & Eggs
organic feta cheese	Dairy & Eggs
organic goat cheese	Dairy & Eggs
organic ricotta	Dairy & Eggs
organic cream cheese	Dairy & Eggs
organic kefir	Dairy & Eggs
organic cultured milk	Dairy & Eggs
organic cultured cheese	Dairy & Eggs
organic cultured yogurt	Dairy & Eggs
organic cultured butter	Dairy & Eggs
organic cultured eggs	Dairy & Eggs
organic cultured cream	Dairy & Eggs
organic cultured sour cream	Dairy & Eggs
organic cultured ice cream	Dairy & Eggs
organic cultured buttermilk	Dairy & Eggs
organic cultured cottage cheese	Dairy & Eggs
organic cultured whipped cream	Dairy & Eggs
organic cultured ghee	Dairy & Eggs
organic cultured feta cheese	Dairy & Eggs
organic cultured goat cheese	Dairy & Eggs
organic cultured ricotta	Dairy & Eggs
organic cultured cream cheese	Dairy & Eggs
organic cultured kefir	Dairy & Eggs
artisan bread	Bakery
artisan bagel	Bakery
artisan croissant	Bakery
artisan muffin	Bakery
artisan cake	Bakery
artisan cookie	Bakery
artisan donut	Bakery
artisan brownie	Bakery
artisan brioche	Bakery
artisan pita	Bakery
artisan ciabatta	Bakery
artisan sourdough	Bakery
artisan biscuit	Bakery
artisan waffle	Bakery
artisan crackers	Bakery
artisan pastry	Bakery
artisan gluten free bread	Bakery
artisan gluten free bagel	Bakery
artisan gluten free croissant	Bakery
artisan gluten free muffin	Bakery
artisan gluten free cake	Bakery
artisan gluten free cookie	Bakery
artisan gluten free donut	Bakery
artisan gluten free brownie	Bakery
artisan gluten free brioche	Bakery
artisan gluten free pita	Bakery
artisan gluten free ciabatta	Bakery
artisan gluten free sourdough	Bakery
artisan gluten free biscuit	Bakery
artisan gluten free waffle	Bakery
artisan gluten free crackers	Bakery
artisan gluten free pastry	Bakery
low calorie chips	Snacks
low calorie popcorn	Snacks
low calorie chocolate bar	Snacks
low calorie candy	Snacks
low calorie cookies	Snacks
low calorie pretzels	Snacks
low calorie crackers	Snacks
low calorie granola bars	Snacks
low calorie nuts	Snacks
low calorie trail mix	Snacks
low calorie beef jerky	Snacks
low calorie fruit snacks	Snacks
low calorie cheese puffs	Snacks
low calorie rice cakes	Snacks
low calorie dried fruit	Snacks
low calorie protein bars	Snacks
low calorie biscuits	Snacks
low calorie gluten free chips	Snacks
low calorie gluten free popcorn	Snacks
low calorie gluten free chocolate bar	Snacks
low calorie gluten free candy	Snacks
low calorie gluten free cookies	Snacks
low calorie gluten free pretzels	Snacks
low calorie gluten free crackers	Snacks
low calorie gluten free granola bars	Snacks
low calorie gluten free nuts	Snacks
low calorie gluten free trail mix	Snacks
low calorie gluten free beef jerky	Snacks
low calorie gluten free fruit snacks	Snacks
low calorie gluten free cheese puffs	Snacks
low calorie gluten free rice cakes	Snacks
low calorie gluten free dried fruit	Snacks
low calorie gluten free protein bars	Snacks
low calorie gluten free biscuits	Snacks
garlic ketchup	Condiments & Sauces
garlic mustard	Condiments & Sauces
garlic mayonnaise	Condiments & Sauces
garlic bbq sauce	Condiments & Sauces
garlic soy sauce	Condiments & Sauces
garlic hot sauce	Condiments & Sauces
garlic ranch dressing	Condiments & Sauces
garlic salad dressing	Condiments & Sauces
garlic pesto	Condiments & Sauces
garlic tartar sauce	Condiments & Sauces
garlic hoisin sauce	Condiments & Sauces
garlic sriracha	Condiments & Sauces
garlic tahini	Condiments & Sauces
garlic vinaigrette	Condiments & Sauces
garlic olive tapenade	Condiments & Sauces
garlic brown sauce	Condiments & Sauces
garlic chutney	Condiments & Sauces
garlic low fat ketchup	Condiments & Sauces
garlic low fat mustard	Condiments & Sauces
garlic low fat mayonnaise	Condiments & Sauces
garlic low fat bbq sauce	Condiments & Sauces
garlic low fat soy sauce	Condiments & Sauces
garlic low fat hot sauce	Condiments & Sauces
garlic low fat ranch dressing	Condiments & Sauces
garlic low fat salad dressing	Condiments & Sauces
garlic low fat pesto	Condiments & Sauces
garlic low fat tartar sauce	Condiments & Sauces
garlic low fat hoisin sauce	Condiments & Sauces
garlic low fat sriracha	Condiments & Sauces
garlic low fat tahini	Condiments & Sauces
garlic low fat vinaigrette	Condiments & Sauces
garlic low fat olive tapenade	Condiments & Sauces
garlic low fat brown sauce	Condiments & Sauces
garlic low fat chutney	Condiments & Sauces
buckwheat pasta	Pasta & Grains
buckwheat rice	Pasta & Grains
buckwheat quinoa	Pasta & Grains
buckwheat couscous	Pasta & Grains
buckwheat barley	Pasta & Grains
buckwheat oats	Pasta & Grains
buckwheat polenta	Pasta & Grains
buckwheat macaroni	Pasta & Grains
buckwheat spaghetti	Pasta & Grains
buckwheat fettuccine	Pasta & Grains
buckwheat bulgur	Pasta & Grains
buckwheat brown rice	Pasta & Grains
buckwheat wild rice	Pasta & Grains
buckwheat noodles	Pasta & Grains
buckwheat lasanga	Pasta & Grains
buckwheat risotto	Pasta & Grains
buckwheat basmati rice	Pasta & Grains
buckwheat gluten free pasta	Pasta & Grains
buckwheat gluten free rice	Pasta & Grains
buckwheat gluten free quinoa	Pasta & Grains
buckwheat gluten free couscous	Pasta & Grains
buckwheat gluten free barley	Pasta & Grains
buckwheat gluten free oats	Pasta & Grains
buckwheat gluten free polenta	Pasta & Grains
buckwheat gluten free macaroni	Pasta & Grains
buckwheat gluten free spaghetti	Pasta & Grains
buckwheat gluten free fettuccine	Pasta & Grains
buckwheat gluten free bulgur	Pasta & Grains
buckwheat gluten free brown rice	Pasta & Grains
buckwheat gluten free wild rice	Pasta & Grains
buckwheat gluten free noodles	Pasta & Grains
buckwheat gluten free lasanga	Pasta & Grains
buckwheat gluten free risotto	Pasta & Grains
buckwheat gluten free basmati rice	Pasta & Grains
low sugar soda	Beverages
low sugar juice	Beverages
low sugar water	Beverages
low sugar coffee	Beverages
low sugar tea	Beverages
low sugar wine	Beverages
low sugar beer	Beverages
low sugar energy drink	Beverages
low sugar milkshake	Beverages
low sugar sports drink	Beverages
low sugar smoothie	Beverages
low sugar sparkling water	Beverages
low sugar lemonade	Beverages
low sugar iced tea	Beverages
low sugar hot chocolate	Beverages
low sugar cider	Beverages
low sugar ale	Beverages
low sugar low calorie soda	Beverages
low sugar low calorie juice	Beverages
low sugar low calorie water	Beverages
low sugar low calorie coffee	Beverages
low sugar low calorie tea	Beverages
low sugar low calorie wine	Beverages
low sugar low calorie beer	Beverages
low sugar low calorie energy drink	Beverages
low sugar low calorie milkshake	Beverages
low sugar low calorie sports drink	Beverages
low sugar low calorie smoothie	Beverages
low sugar low calorie sparkling water	Beverages
low sugar low calorie lemonade	Beverages
low sugar low calorie iced tea	Beverages
low sugar low calorie hot chocolate	Beverages
low sugar low calorie cider	Beverages
low sugar low calorie ale	Beverages
smoked deli meat	Deli
smoked cheese slices	Deli
smoked sandwich meat	Deli
smoked salami	Deli
smoked ham	Deli
smoked turkey	Deli
smoked bologna	Deli
smoked roast beef	Deli
smoked prosciutto	Deli
smoked pepperoni	Deli
smoked pastrami	Deli
smoked chorizo	Deli
smoked mortadella	Deli
smoked olives	Deli
smoked jamon	Deli
smoked lard	Deli
smoked vegan deli meat	Deli
smoked vegan cheese slices	Deli
smoked vegan sandwich meat	Deli
smoked vegan salami	Deli
smoked vegan ham	Deli
smoked vegan turkey	Deli
smoked vegan bologna	Deli
smoked vegan roast beef	Deli
smoked vegan prosciutto	Deli
smoked vegan pepperoni	Deli
smoked vegan pastrami	Deli
smoked vegan chorizo	Deli
smoked vegan mortadella	Deli
smoked vegan olives	Deli
smoked vegan jamon	Deli
smoked vegan lard	Deli
locally grown apple	Produce
locally grown banana	Produce
locally grown orange	Produce
locally grown lettuce	Produce
locally grown carrot	Produce
locally grown broccoli	Produce
locally grown tomato	Produce
locally grown spinach	Produce
locally grown grapes	Produce
locally grown pear	Produce
locally grown kiwi	Produce
locally grown mango	Produce
locally grown strawberry	Produce
locally grown blueberry	Produce
locally grown zucchini	Produce
locally grown cucumber	Produce
locally grown avocado	Produce
locally grown organic apple	Produce
locally grown organic banana	Produce
locally grown organic orange	Produce
locally grown organic lettuce	Produce
locally grown organic carrot	Produce
locally grown organic broccoli	Produce
locally grown organic tomato	Produce
locally grown organic spinach	Produce
locally grown organic grapes	Produce
locally grown organic pear	Produce
locally grown organic kiwi	Produce
locally grown organic mango	Produce
locally grown organic strawberry	Produce
locally grown organic blueberry	Produce
locally grown organic zucchini	Produce
locally grown organic cucumber	Produce
locally grown organic avocado	Produce
